Nama pembeli,Tanggal pembelian,Review,Column 4
alda__nabila,2024-06-02 20:41 | Variasi: 1 Bulan,,"alda__nabila2024-06-02 20:41 | Variasi: 1 BulanUpdate PenilaianDahlah, kecewa. Sering bermasalah, lowresp. Claim garansi tapi akun yang dikasih bukan chat gpt, tapi ai lain. Cukuplah sampe sini aja, byeMembantu?Laporkan Penyalahgunaan"
dendyadinirwana123,2024-05-28 11:59 | Variasi: 1 Bulan,,dendyadinirwana1232024-05-28 11:59 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
221088dimaswidya,2024-09-22 17:33 | Variasi: 1 Bulan,,221088dimaswidya2024-09-22 17:33 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
aguss.harmono,2024-09-30 14:05 | Variasi: 1 Bulan,,aguss.harmono2024-09-30 14:05 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
fitrhman3,2024-08-02 19:27 | Variasi: 1 Bulan,,fitrhman32024-08-02 19:27 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
dwisekarsari1,2024-06-13 20:10 | Variasi: 1 Bulan,,dwisekarsari12024-06-13 20:10 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
1304...,2024-09-06 14:57 | Variasi: 1 Bulan,,1304...2024-09-06 14:57 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
mulyanas14,2024-10-30 13:38 | Variasi: 1 Bulan,,mulyanas142024-10-30 13:38 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
mailliw0981,2024-03-04 15:32 | Variasi: 1 Bulan,,mailliw09812024-03-04 15:32 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
anastasyaputriliara,2024-03-16 21:45 | Variasi: 1 Bulan,,anastasyaputriliara2024-03-16 21:45 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
,2024-07-23 06:48 | Variasi: 1 Bulan,,i*****a2024-07-23 06:48 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
takrekcok,2024-06-12 14:42 | Variasi: 1 Bulan,,takrekcok2024-06-12 14:42 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
sndika_ilham,2024-04-29 08:27 | Variasi: 1 Bulan,,sndika_ilham2024-04-29 08:27 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
fazafarhanhidayat,2024-05-24 00:03 | Variasi: 1 Bulan,,fazafarhanhidayat2024-05-24 00:03 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
afifaprilio16,2024-08-24 15:54 | Variasi: 1 Bulan,,afifaprilio162024-08-24 15:54 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
allysyahanna,2024-09-11 19:41 | Variasi: 1 Bulan,,allysyahanna2024-09-11 19:41 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
izzotin,2024-10-09 06:34 | Variasi: 1 Bulan,,izzotin2024-10-09 06:34 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
humairatami,2024-10-26 04:22 | Variasi: 1 Bulan,,humairatami2024-10-26 04:22 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
,2024-06-02 16:31 | Variasi: 3 Bulan,,"a*****t2024-06-02 16:31 | Variasi: 3 BulanUpdate Penilaianawalnya baik baik aja, tpi gptnya gk bisa login lagi, udah menghubungi admin tapi malah di kasih ai lain😔. 1Laporkan Penyalahgunaan"
tomydwis,2023-12-01 16:38 | Variasi: 1 Bulan,,tomydwis2023-12-01 16:38 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
uwaisganteng1,2023-12-02 11:46 | Variasi: 1 Bulan,,uwaisganteng12023-12-02 11:46 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
mahersungkar11,2023-11-17 20:43 | Variasi: 1 Bulan,,mahersungkar112023-11-17 20:43 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
arifnurrahman456,2023-10-31 02:34 | Variasi: 1 Bulan,,arifnurrahman4562023-10-31 02:34 | Variasi: 1 Bulan1Laporkan Penyalahgunaan
rohmabahro,2023-10-30 06:17 | Variasi: 1 Bulan,,rohmabahro2023-10-30 06:17 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
zahirhaqi,2023-10-15 19:54 | Variasi: 1 Bulan,,zahirhaqi2023-10-15 19:54 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
,2023-10-06 10:59 | Variasi: 1 Bulan,,m*****82023-10-06 10:59 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
ja.startup,2023-10-04 08:06 | Variasi: 1 Bulan,,ja.startup2023-10-04 08:06 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
imamghzh,2024-09-18 08:40 | Variasi: 3 Bulan,,imamghzh2024-09-18 08:40 | Variasi: 3 BulanMembantu?Laporkan Penyalahgunaan
pingkyafseherina,2023-09-10 09:51 | Variasi: 1 Bulan,,pingkyafseherina2023-09-10 09:51 | Variasi: 1 BulanUpdate PenilaianMaaf di ubah ini belum 1 bulan tapi kok udah ga bisa di pake aja Membantu?Laporkan Penyalahgunaan
_irobertjr,2023-08-29 08:49 | Variasi: 1 Bulan,,_irobertjr2023-08-29 08:49 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
,2023-08-23 11:10 | Variasi: 1 Bulan,,h*****s2023-08-23 11:10 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
,2024-02-11 23:53 | Variasi: 1 Bulan,,"b*****a2024-02-11 23:53 | Variasi: 1 BulanCapeeee bgttt, ini murah yaaa but aahhh sudahlah
Ini kyknya satu akun yg pake 50 org maybee?
Seringgg bgt ganti-ganti pw sama email! Padahal itu msh waktu langganan jadinya di waktu butuh mau pake hrus cht  admin lgi minta pw dn email baru dan itu lama bgt di responn
Jadinya aku jarang bgt pake karena emang most of the time gabisa dipakee karena apa? Yess kebnykn akun yg pakee
Saran buat temen-temen mending beli langsung yang privat dari cht gpt nyaa jgn tergiur harga murahh kalo ujung-ujungnya ga di pake jg kyk gini582Laporkan Penyalahgunaan"
sukrisebatik493,2023-08-03 01:20 | Variasi: 1 Bulan,,"sukrisebatik4932023-08-03 01:20 | Variasi: 1 BulanSepadan dengan Harga: Gak smpai 10 hari udah gk bsa d akses, akun d hapus... padahal katanya sebulan.40Laporkan Penyalahgunaan"
,2023-06-06 11:47 | Variasi: 1 Bulan,,"b*****12023-06-06 11:47 | Variasi: 1 BulanBaru dipake bentar udh ga bisa log in, ga ada respon dari penjual. Sangat merugikan30Laporkan Penyalahgunaan"
afif1001,2023-08-02 23:43 | Variasi: 1 Bulan,,"afif10012023-08-02 23:43 | Variasi: 1 BulanPENJUAL TIDAK BERTANGGUNG JAWAB YAH !!!

JANGAN PERNAH BELI DISINI .. CHAT GPT YANG DIBERIKA TIDAK PERNAH BAGUS24Laporkan Penyalahgunaan"
,2023-10-17 21:05 | Variasi: 1 Bulan,,y*****x2023-10-17 21:05 | Variasi: 1 BulanTidak puas. ChatGPT Plus ga bisa dipakai. Maksimal cuma bisa 2 menit bahkan sering ga sampe 1 menit udah kena limit. Sepertinya seller memasukkan terlalu banyak orang ke dalam satu akun sehingga cepat kena limit.19Laporkan Penyalahgunaan
litaoktavia897,2024-01-08 18:17 | Variasi: 1 Bulan,,litaoktavia8972024-01-08 18:17 | Variasi: 1 BulanPENIPUUUUUUU JANGAN PERNAH MAU BELI DI TOKO INI!!!!!!! CHAT GA DI RESPON DAN EMAIL GA DIKIRIM.. PENIPUUUU!!!!! BINTANG SATU12Laporkan Penyalahgunaan
,2024-01-30 14:58 | Variasi: 1 Bulan,,"r*****a2024-01-30 14:58 | Variasi: 1 BulanGa usah beli disini satu akunnya aja ada 100 orang kayaknya yg make, baru siap 3 jam gpt 4 udh kehabisan duluan. Gua beli paket sebulan, belum genap sebulan udh kaga bisa dipakek, terus adminnya ga merespon lagi. Nyesel banget sumpah.12Laporkan Penyalahgunaan"
rkybzsy5tt,2024-01-14 21:27 | Variasi: 1 Bulan,,"rkybzsy5tt2024-01-14 21:27 | Variasi: 1 BulanAti ati aja ini mereka ga punya tanggung jawab, diawal nanggepin nya cepet abis bayar minta password atau komplain susah bngt. Dilempar suruh nge wa abis di wa ga bales2 juga, di chat lewat shoppe juga ga bales2. Akunnya tiba2 suka nutup sndiri kita minta penggantinya lama banget dikasih nya11Laporkan Penyalahgunaan"
zayyanrakhman,2024-03-21 10:36 | Variasi: Lifetime,,"zayyanrakhman2024-03-21 10:36 | Variasi: Lifetimeslow respon, dikasih akun baru, minta verif terus, beli lifetime dapet rugi saja, sekali pakai 1-2 menit limit, dah gitu minta akun baru aja dibalesnya bisa nunggu buka puasa.

UPDATE! sekarang saya di block tidak bisa minta akses kode lagi, beli lifetime mahal2 malah kena blockUpdate PenilaianUpdate lagi: error system lama katanya, dikamarin berminggu2 kemudian. Beli lifetime diancam kalo mau pake harus ubah penilaian saya yg jujur. Bener seperti kata yang lain, ikhlasin aja buat pembelajaran 🙏19Laporkan Penyalahgunaan"
oongfatur,2024-05-30 07:22 | Variasi: 1 Bulan,,oongfatur2024-05-30 07:22 | Variasi: 1 BulanPenjual tdk amanah. Beli chatgpt dapatnya wrtn.ai komplain tdk direspon. Silahkan cek bukti berupa ss sayaUpdate Penilaian5Laporkan Penyalahgunaan
,2024-02-05 14:08 | Variasi: 1 Bulan,,"m*****l2024-02-05 14:08 | Variasi: 1 BulanBad service, sharing. Cuma bisa dipakai 1 kali per 3 jam, bikin pusing kepala.4Laporkan Penyalahgunaan"
,2024-07-01 11:33 | Variasi: 1 Bulan,,"a*****n2024-07-01 11:33 | Variasi: 1 BulanFungsi: SAYA KETIPU. Ini bukan ChatGPT, tpi website pihak ketiga yaitu Chatbot, fungsinya malah lebih sdikit dari ChatGPT asli, dan akun yg dikasi memang tidak bisa login di ChatGPT asliKatanya ChatGPT Plus Premium, bahkan di websitenya ada pakai embel2 GPT-4 dan GPT-4o. Eh pas saya coba kok kyk kurang aja rasanya dri jawabannya, trus saya tanya pakai bhasa pemrograman apa? eh dia jawab masih pakai GPT-3 itu kan udh jadul bgt. Jadi pesan sya hati2 aja kalau udh murah udh pasti kualitasnya murah jga jgn mudah ketipu. Saya paham yg begini2an5Laporkan Penyalahgunaan"
,2024-01-30 14:58 | Variasi: 1 Bulan,,"r*****a2024-01-30 14:58 | Variasi: 1 BulanGa usah beli disini satu akunnya aja ada 100 orang kayaknya yg make, baru siap 3 jam gpt 4 udh kehabisan duluan. Gua beli paket sebulan, belum genap sebulan udh kaga bisa dipakek, terus adminnya ga merespon lagi. Nyesel banget sumpah.12Laporkan Penyalahgunaan"
rkybzsy5tt,2024-01-14 21:27 | Variasi: 1 Bulan,,"rkybzsy5tt2024-01-14 21:27 | Variasi: 1 BulanAti ati aja ini mereka ga punya tanggung jawab, diawal nanggepin nya cepet abis bayar minta password atau komplain susah bngt. Dilempar suruh nge wa abis di wa ga bales2 juga, di chat lewat shoppe juga ga bales2. Akunnya tiba2 suka nutup sndiri kita minta penggantinya lama banget dikasih nya11Laporkan Penyalahgunaan"
zayyanrakhman,2024-03-21 10:36 | Variasi: Lifetime,,"zayyanrakhman2024-03-21 10:36 | Variasi: Lifetimeslow respon, dikasih akun baru, minta verif terus, beli lifetime dapet rugi saja, sekali pakai 1-2 menit limit, dah gitu minta akun baru aja dibalesnya bisa nunggu buka puasa.

UPDATE! sekarang saya di block tidak bisa minta akses kode lagi, beli lifetime mahal2 malah kena blockUpdate PenilaianUpdate lagi: error system lama katanya, dikamarin berminggu2 kemudian. Beli lifetime diancam kalo mau pake harus ubah penilaian saya yg jujur. Bener seperti kata yang lain, ikhlasin aja buat pembelajaran 🙏19Laporkan Penyalahgunaan"
oongfatur,2024-05-30 07:22 | Variasi: 1 Bulan,,oongfatur2024-05-30 07:22 | Variasi: 1 BulanPenjual tdk amanah. Beli chatgpt dapatnya wrtn.ai komplain tdk direspon. Silahkan cek bukti berupa ss sayaUpdate Penilaian5Laporkan Penyalahgunaan
,2024-02-05 14:08 | Variasi: 1 Bulan,,"m*****l2024-02-05 14:08 | Variasi: 1 BulanBad service, sharing. Cuma bisa dipakai 1 kali per 3 jam, bikin pusing kepala.4Laporkan Penyalahgunaan"
,2024-07-01 11:33 | Variasi: 1 Bulan,,"a*****n2024-07-01 11:33 | Variasi: 1 BulanFungsi: SAYA KETIPU. Ini bukan ChatGPT, tpi website pihak ketiga yaitu Chatbot, fungsinya malah lebih sdikit dari ChatGPT asli, dan akun yg dikasi memang tidak bisa login di ChatGPT asliKatanya ChatGPT Plus Premium, bahkan di websitenya ada pakai embel2 GPT-4 dan GPT-4o. Eh pas saya coba kok kyk kurang aja rasanya dri jawabannya, trus saya tanya pakai bhasa pemrograman apa? eh dia jawab masih pakai GPT-3 itu kan udh jadul bgt. Jadi pesan sya hati2 aja kalau udh murah udh pasti kualitasnya murah jga jgn mudah ketipu. Saya paham yg begini2an5Laporkan Penyalahgunaan"
abdil_fadly,2023-06-15 06:19 | Variasi: 1 Bulan,,"abdil_fadly2023-06-15 06:19 | Variasi: 1 BulanBaru di pake beberapa hari udah nga bisa login, email ama password salahrespon penjual:Pembeli di dalam 1 group mw rusakin lapak kami. 

Jgn iri sampe kyk gini jg.12Laporkan Penyalahgunaan"
rafhanirosyidah,2023-08-13 08:58 | Variasi: 1 Bulan,,rafhanirosyidah2023-08-13 08:58 | Variasi: 1 BulanBarang tdk pernah saya terima dan tdk ada bukti penerimaan tp tiba² tertulis telah sampai22Laporkan Penyalahgunaan
rifuhaing,2024-10-31 09:55 | Variasi: 1 Bulan,,rifuhaing2024-10-31 09:55 | Variasi: 1 BulanFungsi: erorDesain: jelekPenggunaan: tidak bisa di gunakan secara normalsatu akun untuk semua jadinya giniMembantu?Laporkan Penyalahgunaan
,2024-11-03 01:10 | Variasi: 1 Bulan,,h*****32024-11-03 01:10 | Variasi: 1 BulanFungsi: TIDAK AMANAHSUMPAH DEMI APAPUN GAUSAH PESEN DISINI LAGI ADMINNYA GA AMANAH SAMA SEKALI SLOW RESPON BANGET DI CHAT MALAH DIANYA BALIK MARAH 👎🏻👎🏻👎🏻👎🏻Membantu?Laporkan Penyalahgunaan
imamramdhania,2024-10-08 06:31 | Variasi: 3 Bulan,,"imamramdhania2024-10-08 06:31 | Variasi: 3 BulanBeda dengan chatgpt asli, sering error harus nunggu karena overload1Laporkan Penyalahgunaan"
,2024-10-31 09:34 | Variasi: 3 Bulan,,"_*****_2024-10-31 09:34 | Variasi: 3 BulanFungsi: Very BadPenggunaan: BadSaran ku beli di toko yg trusted aja, setuju banget sm yg kasih bintang 1, kalo ada opsi bintang 0 mungkin gua bakal kasi bintang 0.
Pembelian pertama masih sabar gue, pembelian kedua uda capr banget, gonta ganti password, mana gitu admin slowrespon. Urgent banget jadi gue kesel, low quality bgt lahMembantu?Laporkan Penyalahgunaan"
diendi.a,2024-10-25 11:14 | Variasi: 1 Bulan,,"diendi.a2024-10-25 11:14 | Variasi: 1 BulanKetipu, ini bukan chat gpt tapi chatbot ai, daya g minta dikembalikan dana tapi saya mau kasih tau kalau menjual barang itu yang jujur y.1Laporkan Penyalahgunaan"
,2023-04-14 00:08 | Variasi: 1 Bulan,,m*****a2023-04-14 00:08 | Variasi: 1 Bulanovershared belum sebulan juga udah gabisa dipake lagi21Laporkan Penyalahgunaan
muh.ashif13,2023-09-10 21:43 | Variasi: 1 Bulan,,"muh.ashif132023-09-10 21:43 | Variasi: 1 BulanSepadan dengan Harga:Tidak
Fitur Terbaik:Tidak

Tidak bisa dipakai password nya sudah digantiUpdate Penilaian14Laporkan Penyalahgunaan"
,2023-08-06 09:48 | Variasi: 1 Bulan,,"t*****a2023-08-06 09:48 | Variasi: 1 BulanHati-hati, penjual penipu, belum sampai sebulan akun sudah tidak aktif !!!respon penjual:Anda sendiri yg gak mau garansi, yg salah siapa ?14Laporkan Penyalahgunaan"
dhotasi,2023-08-21 15:51 | Variasi: 3 Bulan,,dhotasi2023-08-21 15:51 | Variasi: 3 BulanMenghilang tanpa jejak... janjinya 3 bulan...10Laporkan Penyalahgunaan
,2023-12-18 20:00 | Variasi: 1 Bulan,,r*****m2023-12-18 20:00 | Variasi: 1 BulanSelalu reached current cap dan harus menunggu 1 jam lebih supaya bisa promt kembali.3Laporkan Penyalahgunaan
bang_irz,2023-12-12 22:35 | Variasi: Lifetime,,bang_irz2023-12-12 22:35 | Variasi: LifetimeAkun tdk bisa digunakan dgn baik.3Laporkan Penyalahgunaan
harry_arya12,2024-08-19 12:31 | Variasi: 1 Bulan,,harry_arya122024-08-19 12:31 | Variasi: 1 BulanMakeknya gpt yang dikunakan masih 3.5 dan berame2Laporkan Penyalahgunaan
sonihrtdi,2024-08-20 22:16 | Variasi: 1 Bulan,,"sonihrtdi2024-08-20 22:16 | Variasi: 1 BulanWeb Mirror, KW, bukan asli2Laporkan Penyalahgunaan"
,2024-02-11 01:30 | Variasi: 1 Bulan,,k*****e2024-02-11 01:30 | Variasi: 1 BulanTerlalu sering tiba tiba akun ga pro2Laporkan Penyalahgunaan
aziz_101,2024-07-07 22:23 | Variasi: 1 Bulan,,aziz_1012024-07-07 22:23 | Variasi: 1 BulanFungsi: 👎Desain: 👎Penggunaan: 👎Bukan akun asli ChatGPT2Laporkan Penyalahgunaan
umar_haq,2023-11-20 15:49 | Variasi: 3 Bulan,,"umar_haq2023-11-20 15:49 | Variasi: 3 BulanUpdate PenilaianCuma bisa sebulan, setelah itu gak bisa
Padahal saya beli yang 3 bulan

Semoga seller bertanggungjawab
Segera saya ganti ratingnya
Jika seller tanggung jawab5Laporkan Penyalahgunaan"
ary139,2023-08-07 20:19 | Variasi: 1 Bulan,,ary1392023-08-07 20:19 | Variasi: 1 BulanUdah 3x ganti akun selalu kena limit9Laporkan Penyalahgunaan
farhanharyadi99,2023-12-27 15:27 | Variasi: 1 Bulan,,farhanharyadi992023-12-27 15:27 | Variasi: 1 BulanGabisa dipake3Laporkan Penyalahgunaan
yudhaelfama,2024-01-04 11:43 | Variasi: 1 Bulan,,yudhaelfama2024-01-04 11:43 | Variasi: 1 BulanBurika ah2Laporkan Penyalahgunaan
kunzx404,2023-06-01 11:39 | Variasi: 1 Bulan,,kunzx4042023-06-01 11:39 | Variasi: 1 Bulanbusuk dipake banyak orang gk bisa dipake8Laporkan Penyalahgunaan
anwar29mei,2024-11-07 19:28 | Variasi: 1 Bulan,,anwar29mei2024-11-07 19:28 | Variasi: 1 BulanFungsi: produk tidak bisa digunakanDesain: admin lambat membalasMembantu?Laporkan Penyalahgunaan
,2024-03-30 11:29 | Variasi: 1 Bulan,,t*****a2024-03-30 11:29 | Variasi: 1 BulanbaikUpdate Penilaianslowresp parah 2Laporkan Penyalahgunaan
,2023-12-12 20:18 | Variasi: 1 Bulan,,m*****r2023-12-12 20:18 | Variasi: 1 BulanMantapUpdate PenilaianDahlah nyesal..1Laporkan Penyalahgunaan
,2023-12-25 18:47 | Variasi: 1 Bulan,,a*****x2023-12-25 18:47 | Variasi: 1 Bulangabisa dipakai sama sekali krn limit1Laporkan Penyalahgunaan
k1_5txiouw,2024-10-18 11:03 | Variasi: 1 Bulan,,k1_5txiouw2024-10-18 11:03 | Variasi: 1 Bulantidak memberikan solusi1Laporkan Penyalahgunaan
syifasyauqiyah_15,2024-11-02 12:10 | Variasi: 1 Bulan,,syifasyauqiyah_152024-11-02 12:10 | Variasi: 1 Bulangabisa di gunain untuk scan fotoMembantu?Laporkan Penyalahgunaan
,2024-11-05 18:47 | Variasi: 1 Bulan,,r*****22024-11-05 18:47 | Variasi: 1 Bulanbukan gpt asliMembantu?Laporkan Penyalahgunaan
fatchyb,2024-09-24 12:58 | Variasi: 1 Bulan,,"fatchyb2024-09-24 12:58 | Variasi: 1 BulanFungsi: ga berfungsiDesain: -Penggunaan: ga gunagabisa dipake gausah beli, mana penjual bales nya singkat banget kayak ga niat ngejual. intinya produknya gabisa dipake samsek& penjual ga ngasih solusi1Laporkan Penyalahgunaan"
,2024-06-12 17:47 | Variasi: 3 Bulan,,"w*****l2024-06-12 17:47 | Variasi: 3 BulanFungsi: susahDesain: susahPenggunaan: susahSusah banget hubungin adminnya. Mau login harus nunggu adminnya online. Bisa 2-7 jam. Trs kalau tbtb ke log out, chat adminnya lg harus nilai dulu pake bintang 5 biar dapet garansi buat login lagi. Hadeeh ribet banget mending beli di officialnya aja guys! Semoga membantuUpdate PenilaianMau dihapus guys penilaiannya. Takut ketauan jeleknya. Semoga pembeli pd sadar yaaaaa🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻3Laporkan Penyalahgunaan"
chonisa08,2024-05-24 13:18 | Variasi: 1 Bulan,,"chonisa082024-05-24 13:18 | Variasi: 1 BulanFungsi: tidak berfungsi dg baikSusah bgt makenya. Masa dikirimnya yg vers hangeul sih. Mana ps di execute hasilnya gasesuai. Pesen 2hr yg lalu, awalnya udh di ksih email, tp hrs minta kode dulu. Mau minta kode balesannya lama bgtttt. Trus dikasih lg, dpt nya email yg salah. Dan yg terakhir yg ini, dikasihnya yg hangeul. Aduhhh gabener deh. Rugi waktu rugi uang😂 0:11Update PenilaianJarak waktunya lama bgttttt. Abis ngechat aku nubgguin satu jam pun ada1Laporkan Penyalahgunaan"
jacklaw9,2023-11-09 04:31 | Variasi: Lifetime,,"jacklaw92023-11-09 04:31 | Variasi: LifetimeSepadan dengan Harga: Maaf tak sepadanFitur Terbaik: Tidak adaSedang proses pelaporan ke polisi untuk akun ini. Bagi yang merasa tertipu juga, silahkan DM saya, dan ikut bersaksi untuk memproses pemilik akun ini.16Laporkan Penyalahgunaan"
,2023-11-22 04:26 | Variasi: Lifetime,,"v*****a2023-11-22 04:26 | Variasi: LifetimePesen yang lifetime tapi 1 bln aja udah gabisa di pake. Di log out & penjual tidak responsif.

Chat gpt premium cuma bisa dipake sometimes, biasa pake sekali udh kena limit2Laporkan Penyalahgunaan"
ayuhrj,2024-11-09 23:29 | Variasi: 1 Bulan,,"ayuhrj2024-11-09 23:29 | Variasi: 1 BulanFungsi: ngelek mulu, sebellMembantu?Laporkan Penyalahgunaan"
ntnaels,2023-10-07 13:21 | Variasi: 1 Bulan,,ntnaels2023-10-07 13:21 | Variasi: 1 Bulanrespon penjual:***Penilaian Penjual telah disembunyikan karena mengandung konten yang kurang pantas***4Laporkan Penyalahgunaan
chichaturito03,2024-10-26 15:39 | Variasi: 1 Bulan,,chichaturito032024-10-26 15:39 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
,2024-11-09 08:16 | Variasi: 1 Bulan,,s*****a2024-11-09 08:16 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
trisucisandrikaaa,2024-10-14 18:14 | Variasi: 3 Bulan,,trisucisandrikaaa2024-10-14 18:14 | Variasi: 3 Bulan1Laporkan Penyalahgunaan
sastati,2024-01-17 00:31 | Variasi: 1 Bulan,,sastati2024-01-17 00:31 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
bukigelar,2024-02-11 10:16 | Variasi: 1 Bulan,,bukigelar2024-02-11 10:16 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
opetheimer_,2024-11-03 02:48 | Variasi: 1 Bulan,,opetheimer_2024-11-03 02:48 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
ultramann123,2024-11-06 10:25 | Variasi: 1 Bulan,,ultramann1232024-11-06 10:25 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
medira_shop,2024-02-25 06:52 | Variasi: 3 Bulan,,medira_shop2024-02-25 06:52 | Variasi: 3 BulanMembantu?Laporkan Penyalahgunaan
ademuliya273,2024-02-27 05:59 | Variasi: 1 Bulan,,ademuliya2732024-02-27 05:59 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
shalsasafa,2024-09-13 22:35 | Variasi: 1 Bulan,,shalsasafa2024-09-13 22:35 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
rayhanrabbi1216,2024-10-23 17:14 | Variasi: 1 Bulan,,rayhanrabbi12162024-10-23 17:14 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
knuckleburn,2024-11-06 18:12 | Variasi: 1 Bulan,,knuckleburn2024-11-06 18:12 | Variasi: 1 BulanMembantu?Laporkan Penyalahgunaan
